TweetID,text,Expert,Amateur_HS,hate speech,Wa_Hov_HS
564904052652113920,TWITTER__ERRORNo status found with that ID.,0,3,1,0.0
563378742152540160,TWITTER__ERRORNo status found with that ID.,0,3,1,0.0
563085113123422209,"... when he hears ""blue haired bitch"", ""gamergate"", and ""freebsdgirl"". Oh, dear.",1,3,1,0.0
562740608302067712,"RT @femfreq: Reminder: In the game of patriarchy, women are not the opposing team, they are the ball.",0,3,1,0.0
572338780671107072,Maybe the girls should have less tickets on themselves and worry about the cooking. #MKR,1,1,1,0.0
565757280483028992,Let me make this perfectly fucking clear. Every female major target of GamerGate is seeing a fuckton more mentions tonight. #LawAndOrderSVU,0,3,1,0.0
572948043818913792,"@LOLGOP all those damn uppity women, demanding a better quality of life, always causing problems.",1,3,1,0.0
572338472662351872,Hashtag killerblondes is the dickiest hashtag in all  #MKR history... Seriously... Why not #butcherthemodels,1,3,1,0.0
575720084523483136,TWITTER__ERRORUser has been suspended.,0,2,1,0.0
572344168132968451,TWITTER__ERRORNo status found with that ID.,1,3,1,0.0
572339081780326400,"Ugh these #KillerBlondes are killer boring, and what's with spreading their dna all over the table? Unhygienic -and- gross! #MKR2015 #MKR",1,-1,1,0.0
564896671402717184,TWITTER__ERRORNo status found with that ID.,0,3,1,0.0
574300225931599872,Sickened but not surprised by what happened at PAX earlier today. PAX has a history of making poor decisions at the cost of women's safety.,0,3,1,0.0
563115604584824832,TWITTER__ERRORUser has been suspended.,1,-1,1,0.0
572344263389794304,TWITTER__ERRORNo status found with that ID.,1,1,1,0.0
563306298788151300,"RT @NoToFeminism: I don’t need femisnsn because men carry heavy things that i cannot!!! like shopping, boxes, and a huge sense of superiori…",1,1,1,0.0
563379907418267649,RT @erinspice: @prpltnkr @freebsdgirl Then turned @ChiefElk's tw handle (her last name) into a racial slur.,0,3,1,0.0
568667585551548416,"sorry i'm not humble, dick.",0,3,1,0.0
568176653962096641,"RT @yjoyding: Male friend who interviewed at Uber asked about gender diversity &amp; got the answer ""Our recruiters are so hot"".",1,1,1,0.0
562765302308806656,RT @vivian_games: wait esports are excluding trans and lesbian players? jesus christ can we go ONE FUCKING DAY without the industry being r…,1,3,1,0.0
570992333887418369,"According to @ninaburleigh, we should be happy that dudes are talking about feminism. Even if they are telling us how we are doing it wrong.",0,3,1,0.0
572348358968262658,So bummed the dull chicks on #MKR are using such a great name for their restaurant. #Sassy #Iamlatetothepartytonight #IQ,1,-1,1,0.0
563379725771354114,"Feminism should be inclusive. What Rosie is doing just blows my mind. Weaponizing ""feminism"" against WoC... holy crap.",0,3,1,0.0
568804528218181632,"RT @steveklabnik: In which @wadhwa only calls out the women who criticize him, and not the men: http://t.co/hVr9hVhwbP",0,3,1,0.0
